TimeGenerated [UTC],access_method,account_id,account_name,acked,action,activity,alert,alert_id,alert_name,alert_type,app,app_activity,app_sessionid,appcategory,appsuite,asset_id,asset_object_id,breach_date,breach_description,breach_id,breach_media_references,breach_score,breach_target_references,browser,browser_sessionid,browser_version,bypass_traffic,category,cci,ccl,client_bytes,compliance_standards,conn_duration,conn_endtime,conn_starttime,connectionid,CononicalName,count_i,data_type,device,device_classification,dlp_file,dlp_incidentid,dlp_is_unique_count,dlp_mail_parent_id,dlp_parentid,dlp_profile,dlp_rule,dlp_rule_count,dlp_rule_severity,dlp_unique_count,domain,dst_country,dst_geoip_src,dst_latitude,dst_location,dst_longitude,dst_region,dst_timezone,dst_zipcode,dstip,dsthost,dstport,email_source,event_type,evt_src_chnl,exposure,external_collaborator_count,external_email,file_cls_encrypted,file_lang,file_path,file_size,file_type,from_user,fromlogs,hostname,http_transaction_count,iaas_asset_tags,iaas_remediated,instance,instance_id,internal_collaborator_count,justification_reason,justification_type,last_app,last_country,last_device,last_location,last_region,last_timestamp,log_file_name,malicious,malsite_category,malsite_country,malsite_id,malsite_ip_host,malsite_latitude,malsite_longitude,malsite_region,managed_app,managementID,matched_username,md5,mime_type,modified,netskope_activity,netskope_pop,notify_template,nsdeviceuid,numbytes,object,object_id,object_type,org,organization_unit,orig_ty,orignal_file_path,os,os_version,other_categories,outer_doc_type,owner,page,page_site,parent_id,password_type,policy,policy_actions,policy_id,profile_id,protocol,referer,region_id,region_name,req_cnt,requestid,resource_category,resource_group,resp_cnt,sa_profile_id,sa_profile_name,sa_rule_id,sa_rule_name,sa_rule_severity,sAMAccountName,sanctioned_instance,scan_type,serial,server_bytes,sessionid,severity,severity_level,severity_level_id,sfwder,sha256,shared_domains,shared_with,site,src_country,src_geoip_src,src_latitude,src_location,src_longitude,src_region,src_time,src_timezone,src_zipcode,srcip,suppression_end_time,suppression_key,suppression_start_time,telemetry_app,threat_match_field,threat_match_value,threat_source_id,threshold,threshold_time,timestamp,title_s,to_object,total_collaborator_count,traffic_type,transactionid,true_obj_category,true_obj_type,tss_mode,two_factor_auth,type_s,universal_connector,ur_normalized,url,user,user_generated,user_id,useragent,userip,userkey,userPrincipalName,web_universal_connector,TenantId,Type,_ResourceId
"16/06/2026, 06:26:41.000",Client,,,FALSE,alert,,yes,,[WEB] All Sector Web Access,policy,,,0,,,,,,,,,,,,0,,,All Sector Websites,0,unknown,0,,0,,,0,,1,,Other,,,,,,,,,,,,,IE,0,53,Dublin,-7,Leinster,Europe/Dublin,D02,52.138.229.0,,443,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,[],,,,,,,,,,,,0,,,,,0,,,,,,,,,Mac OSX 26.5.1,"[""All Sector Websites"",""DLP All Categories "",""Marketing"",""Business"",""All Categories"",""Technology""]",,,eu-teams.events.data.microsoft.com,,,,[WEB] All Sector Web Access,,,,,,,,0,3393852352174846977,,,0,,,,,,,,,,0,,,,,,,,,,GB,0,51,Hendon,-1,England,Tue Jun 16 07:26:41 2026,Europe/London,NW4,82.30.253.0,0,,0,,,,0,,,1781591201,,,0,Web,0,,,,,nspolicy,,vanessa.kumar@corporate.com,eu-teams.events.data.microsoft.com,Pramodini.Nayak@corporate.com,,,,192.168.0.14,,,,16b4146d-f75d-47d9-a115-bbd9ccafb19a,NetskopeAlerts_CL,
"16/06/2026, 06:26:41.000",Client,,,FALSE,alert,,yes,,[WEB] All Sector Web Access,policy,,,0,,,,,,,,,,,,0,,,All Sector Websites,0,unknown,0,,0,,,0,,1,,Other,,,,,,,,,,,,,IE,0,53,Dublin,-7,Leinster,Europe/Dublin,D02,13.69.239.0,,443,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,[],,,,,,,,,,,,0,,,, ,0,,,,,,,,,Windows NT 11.0,"[""All Sector Websites"",""DLP All Categories "",""Marketing"",""Business"",""All Categories"",""Technology""]",,,eu-office.events.data.microsoft.com,,,,[WEB] All Sector Web Access,,,,,,,,0,3393852357233413889,,,0,,,,,,,,,,0,,,,,,,,,,IN,0,28,Delhi,77,National Capital Territory of Delhi,Tue Jun 16 11:56:41 2026,Asia/Kolkata,110001,103.225.59.0,0,,0,,,,0,,,1781591201,,,0,Web,0,,,,,nspolicy,,thomas.wilson@corporate.com,eu-office.events.data.microsoft.com,reuben.ramesh@corporate.com,,,,192.168.1.37,,,,16b4146d-f75d-47d9-a115-bbd9ccafb19a,NetskopeAlerts_CL,
"16/06/2026, 06:26:41.000",Client,,,FALSE,alert,,yes,,[WEB] All Sector Web Access,policy,,,0,,,,,,,,,,,,0,,,All Sector Websites,0,unknown,0,,0,,,0,,1,,Other,,,,,,,,,,,,,US,0,38,Washington,-79,Virginia,America/New_York,22747,48.211.4.0,,443,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,[],,,,,,,,,,,,0,,,, ,0,,,,,,,,,Windows NT 11.0,"[""All Sector Websites"",""DLP All Categories "",""Marketing"",""Business"",""All Categories"",""Technology""]",,,settings-win.data.microsoft.com,,,,[WEB] All Sector Web Access,,,,,,,,0,3393853375819866113,,,0,,,,,,,,,,0,,,,,,,,,,GB,0,50,Brighton,-1,England,Tue Jun 16 07:26:41 2026,Europe/London,N/A,217.65.134.0,0,,0,,,,0,,,1781591201,,,0,Web,0,,,,,nspolicy,,sarah.patel@corporate.com,settings-win.data.microsoft.com,james.heath@corporate.com,,,,10.101.3.13,,,,16b4146d-f75d-47d9-a115-bbd9ccafb19a,NetskopeAlerts_CL,
"16/06/2026, 06:26:42.000",Client,,,FALSE,alert,Response,yes,,[WEB] All Sector Web Access,policy,Anthropic Claude,,4446167814681716819,Generative AI,,,,,,,,,,,5761591961372255990,,,All Sector Websites,83,high,0,,0,,,8016351051001150293,,1,,Windows Device,managed,,,,,,,,,,,,US,0,37,San Francisco,-123,California,America/Los_Angeles,N/A,160.79.104.0,,443,,,,,0,,,,,1414,text/plain,,,Corporate-9364,,,,,,0,,,,,,,,,,,[],,,,,,,no,,,5254500b6c6747d3e7c808bff4cf5303,,0,,,,03C835D0-BA98-0011-89EB-ED684C883501,0,,,Message,,,,,Windows 11,Windows NT 11.0,"[""All Sector Websites"",""Engineering"",""Generative AI"",""Generative AI - Tools and Stores""]",,,api.anthropic.com,Anthropic,,,[WEB] All Sector Web Access,,7FB181CEF851C88C 2026-06-15 15:05:33.202470,,HTTPS/1.1,,,,0,585895169767630047,,,0,,,,,,,,,,0,,,,,,,,,Anthropic,IN,0,12,Bengaluru,77,Karnataka,Tue Jun 16 11:56:42 2026,Asia/Kolkata,562130,49.207.195.0,0,,0,,,,0,,,1781591202,,,0,CloudApp,1552339606481747543,,,,,nspolicy,,derek.johnson@corporate.com,api.anthropic.com/v1/messages,Mansi.Pandey@corporate.com,,,"claude-cli/2.1.177 (external, cli)",192.168.1.102,,,,16b4146d-f75d-47d9-a115-bbd9ccafb19a,NetskopeAlerts_CL,
"16/06/2026, 06:26:41.000",Client,,,FALSE,alert,,yes,,[WEB] All Sector Web Access,policy,,,0,,,,,,,,,,,,0,,,All Sector Websites,0,unknown,0,,0,,,0,,1,,Other,,,,,,,,,,,,,US,0,38,Washington,-79,Virginia,America/New_York,N/A,20.42.73.0,,443,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,[],,,,,,,,,,,,0,,,, ,0,,,,,,,,,Windows NT 11.0,"[""All Sector Websites"",""DLP All Categories "",""Marketing"",""Business"",""All Categories"",""Technology""]",,,self.events.data.microsoft.com,,,,[WEB] All Sector Web Access,,,,,,,,0,3393852504461628673,,,0,,,,,,,,,,0,,,,,,,,,,GB,0,50,Haywards Heath,-1,England,Tue Jun 16 07:26:41 2026,Europe/London,RH16,109.150.120.0,0,,0,,,,0,,,1781591201,,,0,Web,0,,,,,nspolicy,,linda.martinez@corporate.com,self.events.data.microsoft.com,Anthony.Newman@corporate.com,,,,192.168.68.70,,,,16b4146d-f75d-47d9-a115-bbd9ccafb19a,NetskopeAlerts_CL,
"16/06/2026, 06:26:41.000",Client,,,FALSE,useralert,Browse,yes,,[WEB] Potentially Malicious Sites,policy,,,1767205726962671992,,,,,,,,,,,,5000178776037541454,,,Potentially malicious sites,0,unknown,0,,0,,,0,,1,,Windows Device,managed,,,,,,,,,,,,GB,0,51,London,-1,England,Europe/London,N/A,174.46.83.0,,80,,,,,0,,,,,0,,,,Corporate-96412,,,,,,0,,,,,,,,,,,[],,,,,,,no,,,,,0,,,14.html,B3CC260A-BFB2-714F-02F9-D8C96DB9B21B,0,,,,,,,,Windows 11,Windows NT 11.0,"[""Potentially malicious sites"",""Uncategorized"",""DLP All Categories "",""All Categories""]",,,174.46.83.201/c7a4bfbe-877b-44d5-ba40-d8df5298ae5e/48ce72f3-b6bb-472b-8c37-cbef80be50e8/283371b2-2794-4fcd-9377-974fd9ff2404.intunewin.bin?cacheHostOrigin=swdb02-mscdn.manage.microsoft.com,174.46.83.201,,,[WEB] Potentially Malicious Sites,,7FB181CEF851C88C 2026-06-15 15:05:33.202470,,HTTPS/1.1,,,,0,4431870242258108579,,,0,,,,,,,,,,0,,,,,,,,,174.46.83.201,GB,0,53,Halifax,-2,England,Tue Jun 16 07:26:41 2026,Europe/London,HX1,81.105.212.0,0,,0,,,,0,,,1781591201,,,0,Web,4431870242258108579,,,,,nspolicy,,kevin.brooks@corporate.com,174.46.83.201/c7a4bfbe-877b-44d5-ba40-d8df5298ae5e/48ce72f3-b6bb-472b-8c37-cbef80be50e8/283371b2-2794-4fcd-9377-974fd9ff2404.intunewin.bin,Charissa.Chang@corporate.com,,,Microsoft-Delivery-Optimization/10.1,192.168.0.164,,,,16b4146d-f75d-47d9-a115-bbd9ccafb19a,NetskopeAlerts_CL,
"16/06/2026, 06:26:40.000",Client,,,FALSE,alert,Upload,yes,,[WEB] All Sector Web Access,policy,Microsoft Edge,,4177921831347134248,Technology,,,,,,,,,,Chrome,119298968245144067,,,All Sector Websites,72,medium,0,,0,,,0,,1,application/octet-stream,Windows Device,managed,,,,,,,,,,,,US,0,47,Redmond,-123,Washington,America/Los_Angeles,N/A,150.171.27.0,,443,,,,,0,,,,,5266,Plain Text file,,,Corporate-93266,,,,,,0,,,,,,,,,,,[],,,,,,,no,,,dc848a6dec2ca7a14082d6fd628dab94,,0,,,,BD462FDF-D4FB-9286-8C32-4322B768C431,0,,,File,,,,,Windows 11,Windows NT 11.0,"[""All Sector Websites"",""DLP All Categories "",""Marketing"",""Business"",""All Categories"",""Technology""]",,,edge.microsoft.com/sync/v1/feeds/me/syncEntities/command/?client=Chromium&client_id=uYKogYRfE0ceE%2FJzrJPt7w%3D%3D,microsoft,,,[WEB] All Sector Web Access,,7FB181CEF851C88C 2026-06-15 15:05:33.202470,,HTTPS/1.1,,,,0,5287969727838090829,,,0,,,,,,,,,,0,,unknown,,,,d2c10b214515b4a115f1244e6d621c634776fcb08099a20132c562c8860f6be0,,,Microsoft Edge,GB,0,52,Birmingham,-2,England,Tue Jun 16 07:26:40 2026,Europe/London,B6,31.94.70.0,0,,0,,,,0,,,1781591200,,,0,CloudApp,5287969727838090829,,,inline,,nspolicy,yes,emma.fitzgerald@corporate.com,edge.microsoft.com/sync/v1/feeds/me/syncEntities/command/,francis.purcell@corporate.com,,,Chrome WIN 149.0.4022.62 (068a180137b01f28d261b1343e49c85b6348d4f5) channel(stable),192.168.1.29,,,,16b4146d-f75d-47d9-a115-bbd9ccafb19a,NetskopeAlerts_CL,
"16/06/2026, 06:26:41.000",Client,,,FALSE,useralert,Browse,yes,,[WEB] Potentially Malicious Sites,policy,,,1767205726962671992,,,,,,,,,,,,5000178776037541454,,,Potentially malicious sites,0,unknown,0,,0,,,0,,1,,Windows Device,managed,,,,,,,,,,,,GB,0,51,London,-1,England,Europe/London,N/A,174.46.83.0,,80,,,,,0,,,,,0,,,,Corporate-96412,,,,,,0,,,,,,,,,,,[],,,,,,,no,,,,,0,,,14.html,B3CC260A-BFB2-714F-02F9-D8C96DB9B21B,0,,,,,,,,Windows 11,Windows NT 11.0,"[""Potentially malicious sites"",""Uncategorized"",""DLP All Categories "",""All Categories""]",,,174.46.83.201/c7a4bfbe-877b-44d5-ba40-d8df5298ae5e/48ce72f3-b6bb-472b-8c37-cbef80be50e8/283371b2-2794-4fcd-9377-974fd9ff2404.intunewin.bin?cacheHostOrigin=swdb02-mscdn.manage.microsoft.com,174.46.83.201,,,[WEB] Potentially Malicious Sites,,7FB181CEF851C88C 2026-06-15 15:05:33.202470,,HTTPS/1.1,,,,0,4997919106262660520,,,0,,,,,,,,,,0,,,,,,,,,174.46.83.201,GB,0,53,Halifax,-2,England,Tue Jun 16 07:26:41 2026,Europe/London,HX1,81.105.212.0,0,,0,,,,0,,,1781591201,,,0,Web,4997919106262660520,,,,,nspolicy,,kevin.brooks@corporate.com,174.46.83.201/c7a4bfbe-877b-44d5-ba40-d8df5298ae5e/48ce72f3-b6bb-472b-8c37-cbef80be50e8/283371b2-2794-4fcd-9377-974fd9ff2404.intunewin.bin,Charissa.Chang@corporate.com,,,Microsoft-Delivery-Optimization/10.1,192.168.0.164,,,,16b4146d-f75d-47d9-a115-bbd9ccafb19a,NetskopeAlerts_CL,
"16/06/2026, 06:26:41.000",Client,,,FALSE,block,Browse,yes,,[WEB] Prohibited Sites,policy,Atlassian Jira Software,,4487093888799611826,Development Tools,Atlassian,,,,,,,,,Safari,3743399434542224550,26.5,,Prohibited Sites,84,high,0,,0,,,0,,1,,Mac Device,managed,,,,,,,,,,,,US,0,47,Redmond,-123,Washington,America/Los_Angeles,98073,13.107.137.0,,443,,,,,0,,,,,0,,,,HP42MPQD23,,,,,,0,,,,,,,,,,,[],,,,,,,no,,,,,0,,,1.html,8273DDC0-5708-50CF-BBAE-010879101BA8,0,,,,,,,,Mac OS,Mac OSX 26.5.0,"[""Prohibited Sites"",""All Categories"",""DLP All Categories "",""Marketing"",""File Transfers"",""Cloud Storage"",""Engineering"",""Development Tools""]",,,onedrive.live.com/favicon.ico,live,,,[WEB] Prohibited Sites,,7FB181CEF851C88C 2026-06-15 15:05:33.202470,,HTTPS/1.1,https://myhouse.atlassian.net/,,,0,1853767612842718881,,,0,,,,,,,,,,0,,unknown,,,,,,,Atlassian - JIRA,IN,0,18,Pune,73,Maharashtra,Tue Jun 16 11:56:41 2026,Asia/Kolkata,411007,49.36.56.0,0,,0,Microsoft OneDrive,,,0,,,1781591201,,,0,CloudApp,1853767612842718881,,,,,nspolicy,,robert.sharma@corporate.com,onedrive.live.com/favicon.ico,priyanka.burde@corporate.com,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",192.168.29.13,,,,16b4146d-f75d-47d9-a115-bbd9ccafb19a,NetskopeAlerts_CL,
"16/06/2026, 06:26:41.000",Client,,,FALSE,alert,Browse,yes,,[WEB] All Sector Web Access,policy,Microsoft Azure,,0,IaaS/PaaS,,,,,,,,,,,0,,,IaaS/PaaS,87,high,0,,0,,,0,,1,,Other,,,,,,,,,,,,,US,0,38,Arlington,-78,Virginia,America/New_York,22226,52.188.247.0,,443,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,[],,,,,,,,,,,,0,,,, ,0,,,,,,,,,Windows NT 11.0,"[""All Sector Websites"",""IaaS/PaaS"",""DLP All Categories "",""Engineering"",""Marketing"",""Microsoft_Foundary_AI"",""All Categories"",""Technology""]",,,eastus-8.in.applicationinsights.azure.com,,,,[WEB] All Sector Web Access,,,,,,,,0,3393852796418741505,,,0,,,,,,,,,,0,,,,,,,,,Windows Azure,GB,0,52,Coalville,-2,England,Tue Jun 16 07:26:41 2026,Europe/London,LE67,90.248.115.0,0,,0,,,,0,,,1781591201,,,0,CloudApp,0,,,,,nspolicy,,jessica.turner@corporate.com,eastus-8.in.applicationinsights.azure.com,Lucy.Crook@corporate.com,,,,192.168.1.75,,,,16b4146d-f75d-47d9-a115-bbd9ccafb19a,NetskopeAlerts_CL,
"16/06/2026, 06:26:41.000",Client,,,FALSE,alert,Browse,yes,,[WEB] All Sector Web Access,policy,Microsoft Azure,,0,IaaS/PaaS,,,,,,,,,,,0,,,IaaS/PaaS,87,high,0,,0,,,0,,1,,Other,,,,,,,,,,,,,NL,0,52,Amsterdam,4,North Holland,Europe/Amsterdam,1012,40.113.176.0,,443,,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,,,[],,,,,,,,,,,,0,,,, ,0,,,,,,,,,Windows NT 11.0,"[""All Sector Websites"",""IaaS/PaaS"",""DLP All Categories "",""Engineering"",""Marketing"",""Microsoft_Foundary_AI"",""All Categories"",""Technology""]",,,westeurope-5.in.applicationinsights.azure.com,,,,[WEB] All Sector Web Access,,,,,,,,0,3393852295803588097,,,0,,,,,,,,,,0,,,,,,,,,Windows Azure,GB,0,51,Tottenham,-1,England,Tue Jun 16 07:26:41 2026,Europe/London,N17,94.2.57.0,0,,0,,,,0,,,1781591201,,,0,CloudApp,0,,,,,nspolicy,,nathan.cole@corporate.com,westeurope-5.in.applicationinsights.azure.com,oliver.thompson@corporate.com,,,,192.168.68.65,,,,16b4146d-f75d-47d9-a115-bbd9ccafb19a,NetskopeAlerts_CL,
